id,locality,type_of_property,subtype_of_property,price,type_of_sale,nr_of_rooms,area,equiped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,total_land_area,nr_of_facades,swimming_pool,building_condition,kitchen,region,Province,sq_m_price,sq_m_land_price
8989412,4020,APARTMENT,PENTHOUSE,92000,FOR_SALE,1,29.0,NOT_INSTALLED,False,False,True,12.0,False,-1.0,41.0,2,False,TO_BE_DONE_UP,True,WAL,WLG,3172.4137931034484,2243.9024390243903
8923633,4500,APARTMENT,DUPLEX,99000,FOR_SALE,2,100.0,INSTALLED,False,False,True,-1.0,False,-1.0,99.0,2,False,TO_BE_DONE_UP,True,WAL,WLG,990.0,1000.0
8906165,9600,HOUSE,HOUSE,105000,FOR_SALE,2,125.0,SEMI_EQUIPPED,False,False,False,-1.0,False,-1.0,70.0,2,False,GOOD,True,VLA,VOV,840.0,1500.0
8981704,4420,HOUSE,HOUSE,109000,FOR_SALE,1,50.0,SEMI_EQUIPPED,False,False,False,-1.0,True,121.0,180.0,2,False,GOOD,True,WAL,WLG,2180.0,605.5555555555555
8903832,4190,HOUSE,HOUSE,110000,FOR_SALE,3,105.0,INSTALLED,True,False,True,-1.0,True,382.0,486.0,3,False,GOOD,True,WAL,WLG,1047.6190476190477,226.33744855967078
8712823,4000,APARTMENT,APARTMENT,120000,FOR_SALE,1,56.0,NOT_INSTALLED,True,False,False,-1.0,False,-1.0,55.0,-1,False,AS_NEW,True,WAL,WLG,2142.8571428571427,2181.818181818182
8705030,4000,APARTMENT,APARTMENT,120000,FOR_SALE,1,56.0,NOT_INSTALLED,True,False,False,-1.0,False,-1.0,55.0,-1,False,AS_NEW,True,WAL,WLG,2142.8571428571427,2181.818181818182
8325945,4030,HOUSE,MIXED_USE_BUILDING,129000,FOR_SALE,3,156.0,NOT_INSTALLED,False,False,False,-1.0,False,-1.0,71.0,2,False,TO_BE_DONE_UP,True,WAL,WLG,826.9230769230769,1816.9014084507041
8789762,9600,HOUSE,HOUSE,129000,FOR_SALE,4,178.0,SEMI_EQUIPPED,False,False,True,12.0,True,40.0,130.0,2,False,TO_RENOVATE,True,VLA,VOV,724.7191011235955,992.3076923076923
9003183,9600,HOUSE,HOUSE,129500,FOR_SALE,2,80.0,INSTALLED,False,False,False,-1.0,False,-1.0,40.0,2,False,JUST_RENOVATED,True,VLA,VOV,1618.75,3237.5
